id,susceptibility_BV,infectivity_BV,susceptibility_EV,infectivity_EV,susceptibility,infectivity,susceptibility_ln,infectivity_ln,IndexCase_0,group,Tinf,frailties,Epi.type,I,R,eRates,V1
1500,0.524934519153715,5.34834815616986e-07,0,0,0.524934519153715,5.34834815616986e-07,1.69034815932714,1.00000053483496,1,80,0.979488259139409,lognormal,SI,1,,0,9.99999883947185
1526,0.045593078954723,-5.29990625308211e-07,0,0,0.045593078954723,-5.29990625308211e-07,1.04664842102116,0.999999470009515,1,80,0.488622777060879,lognormal,SI,1,,0,9.99999883947185
1541,-0.0169013817931628,-2.61970650541173e-07,0,0,-0.0169013817931628,-2.61970650541173e-07,0.983240645283116,0.999999738029384,1,80,0.998899976390224,lognormal,SI,1,,0,9.99999883947185
620,-0.0132287212087122,-7.68457594756318e-07,0,0,-0.0132287212087122,-7.68457594756318e-07,0.986858393760716,0.999999231542701,1,81,1.19003903878774,lognormal,SI,1,,0,10.0000020046196
802,-0.0962529948412648,1.58296544205366e-07,0,0,-0.0962529948412648,1.58296544205366e-07,0.908234208430465,1.00000015829656,1,81,0.624756225071265,lognormal,SI,1,,0,10.0000020046196
847,0.0400200599387455,-7.29607151207596e-08,0,0,0.0400200599387455,-7.29607151207596e-08,1.04083165300218,0.999999927039288,1,81,0.14176961223131,lognormal,SI,1,,0,10.0000020046196
966,-0.185394444571255,6.93218503301344e-07,0,0,-0.185394444571255,6.93218503301344e-07,0.830776523925025,1.00000069321874,1,81,0.951288210422158,lognormal,SI,1,,0,10.0000020046196
1226,-0.361169025798821,1.39291266299386e-06,0,0,-0.361169025798821,1.39291266299386e-06,0.696861200990582,1.00000139291363,1,81,2.11558825778154,lognormal,SI,1,,0,10.0000020046196
1240,0.114002547811383,4.25204301704893e-07,0,0,0.114002547811383,4.25204301704893e-07,1.12075498035281,1.00000042520439,1,81,0.573615253267974,lognormal,SI,1,,0,10.0000020046196
1282,0.152571982602787,1.51569060289528e-07,0,0,0.152571982602787,1.51569060289528e-07,1.16482630630624,1.00000015156907,1,81,2.18372121237,lognormal,SI,1,,0,10.0000020046196
1390,-0.013444577318415,-5.09224680388721e-07,0,0,-0.013444577318415,-5.09224680388721e-07,0.986645397336128,0.999999490775449,0,81,0,lognormal,SI,1,,0,10.0000020046196
1441,-0.263219655357404,2.18861560185305e-07,0,0,-0.263219655357404,2.18861560185305e-07,0.76857305757891,1.00000021886158,1,81,1.02052713516392,lognormal,SI,1,,0,10.0000020046196
1572,0.536098825039035,3.15198130625974e-07,0,0,0.536098825039035,3.15198130625974e-07,1.70932546031388,1.00000031519818,1,81,2.48982232366277,lognormal,SI,1,,0,10.0000020046196
650,0.435062918311023,-7.18721039442514e-07,0,0,0.435062918311023,-7.18721039442514e-07,1.5450602684757,0.999999281279219,1,82,4.38266606898768,lognormal,SI,1,,0,9.99999894934957
679,0.301638313120538,-3.99154398973346e-07,0,0,0.301638313120538,-3.99154398973346e-07,1.35207211151872,0.999999600845681,1,82,2.7295085395373,lognormal,SI,1,,0,9.99999894934957
769,0.0783072244159015,-1.32267572183562e-07,0,0,0.0783072244159015,-1.32267572183562e-07,1.08145485697451,0.999999867732437,1,82,3.38382848676237,lognormal,SI,1,,0,9.99999894934957
1005,-0.0240617067041352,-6.08288669039087e-09,0,0,-0.0240617067041352,-6.08288669039087e-09,0.976225468243138,0.999999993917113,1,82,3.38240631095268,lognormal,SI,1,,0,9.99999894934957
1025,0.438133730946884,2.37674626788148e-07,0,0,0.438133730946884,2.37674626788148e-07,1.54981215140823,1.00000023767466,1,82,2.24869627346631,lognormal,SI,1,,0,9.99999894934957
1125,0.292433336627231,-1.42282873247092e-07,0,0,0.292433336627231,-1.42282873247092e-07,1.33968342577144,0.999999857717137,1,82,3.54412030273483,lognormal,SI,1,,0,9.99999894934957
1349,-0.200104136916449,-3.78343071680807e-07,0,0,-0.200104136916449,-3.78343071680807e-07,0.818645497421162,0.999999621657,1,82,3.67216759624258,lognormal,SI,1,,0,9.99999894934957
1405,-0.431260817922699,-9.46929587751397e-08,0,0,-0.431260817922699,-9.46929587751397e-08,0.64968943802532,0.999999905307046,0,82,0,lognormal,SI,1,,0,9.99999894934957
